partner_a,partner_b
SLC17A8,GRM8
SLC1A1,GRIA1
SLC1A1,GRIA2
SLC1A1,GRIA3
SLC1A1,GRIA4
SLC1A1,GRIK1
SLC1A1,GRIK2
SLC1A1,GRIK3
SLC1A1,GRM1
SLC1A1,GRM2
SLC1A1,GRM3
SLC1A1,GRM4
SLC1A1,GRM5
SLC1A1,GRM6
SLC1A1,GRM7
SLC1A1,GRM8
SLC1A2,GRIA1
SLC1A2,GRIA2
SLC1A2,GRIA3
SLC1A2,GRIA4
SLC1A2,GRIK1
SLC1A2,GRIK2
SLC1A2,GRIK3
SLC1A2,GRM1
SLC1A2,GRM2
SLC1A2,GRM3
SLC1A2,GRM4
SLC1A2,GRM5
SLC1A2,GRM6
